,mod_ingredients
instant coffee,0.00021766008451969674
turmeric powder,0.00021766008451969674
refrigerated crescent dinner roll,0.00021567232119074976
"lemon, rind of",0.00021567232119074976
red chili powder,0.00021467843952627624
green chili pepper,0.00021269067619732925
low-fat sour cream,0.00021119985370061898
red cabbage,0.00021070291286838223
ginger ale,0.00020871514953943525
chicken breast half,0.00020772126787496173
noodle,0.00020672738621048823
rotel tomato,0.0002062304453782515
creme fraiche,0.000205236563713778
triple sec,0.00020473962288154122
creamed corn,0.00020424268204930447
dill pickle,0.00020424268204930447
ice water,0.00020424268204930447
roasting chicken,0.00020374574121706773
plain breadcrumb,0.00020275185955259423
reduced sodium soy,0.00020275185955259423
grenadine,0.00020225491872035749
cumin powder,0.00020225491872035749
boneless pork chop,0.00020126103705588397
italian bread,0.00020126103705588397
club soda,0.00020076409622364722
smoked sausage,0.00020026715539141047
ritz cracker,0.00019977021455917373
apricot preserve,0.00019977021455917373
lemon extract,0.00019877633289470023
saffron,0.00019827939206246348
turkey breast,0.0001977824512302267
brewed coffee,0.0001977824512302267
nonfat sour cream,0.00019629162873351647
kale,0.00019579468790127972
smoked salmon,0.00019430386540456946
bacon bit,0.00019430386540456946
caramel,0.0001938069245723327
creole seasoning,0.00019330998374009596
amaretto,0.00019281304290785922
mini marshmallow,0.00019181916124338572
great northern bean,0.00019132222041114898
grand marnier,0.00019132222041114898
pistachio,0.00018933445708220196
cooked turkey,0.00018933445708220196
fish fillet,0.00018834057541772847
cream-style corn,0.0001868497529210182
english cucumber,0.0001868497529210182
chunky salsa,0.00018635281208878146
fettuccine,0.00018635281208878146
turnip,0.0001858558712565447
hot dog,0.00018486198959207122
cracker,0.00018436504875983447
vanilla instant pudding mix,0.00018436504875983447
mace,0.00018386810792759772
gorgonzola,0.00018386810792759772
pizza dough,0.00018337116709536095
white mushroom,0.0001828742262631242
seasoned bread crumb,0.0001828742262631242
cauliflower floret,0.00018237728543088745
red capsicum,0.0001818803445986507
kielbasa,0.00018138340376641396
mirin,0.00018088646293417721
white bean,0.0001798925812697037
arugula,0.00017939564043746695
fig,0.0001788986996052302
pancetta,0.0001779048179407567
coriander powder,0.0001779048179407567
mixed salad green,0.00017740787710851996
ghee,0.00017641399544404644
superfine sugar,0.0001759170546118097
blanched almond,0.00017542011377957295
pork sausage,0.00017442623211509945
white cake mix,0.00017442623211509945
round steak,0.0001739292912828627
low-fat mayonnaise,0.00017293540961838919
extra lean  beef,0.00017243846878615244
black-eyed pea,0.00017243846878615244
sweet pickle relish,0.00017243846878615244
cardamom pod,0.00017243846878615244
wonton wrapper,0.0001709476462894422
baguette,0.00017045070545720545
feta,0.0001699537646249687
pearl barley,0.00016945682379273193
saffron thread,0.0001679660012960217
"orange, zest of",0.0001679660012960217
fennel bulb,0.0001679660012960217
red lentil,0.00016647517879931145
mini chocolate chip,0.00016647517879931145
bow tie pasta,0.00016597823796707468
wide egg noodle,0.00016548129713483793
oreo cookie,0.00016548129713483793
soft breadcrumb,0.00016498435630260118
fat free sour cream,0.00016448741547036444
enchilada,0.0001639904746381277
alfredo,0.0001639904746381277
italian salad dressing,0.0001639904746381277
crystallized ginger,0.00016349353380589094
cremini mushroom,0.0001629965929736542
prawn,0.0001629965929736542
crouton,0.00016249965214141742
lard,0.00016249965214141742
thyme leave,0.00016200271130918068
bisquick baking mix,0.00016200271130918068
sliced water chestnut,0.00016100882964470718
chili pepper flake,0.00016100882964470718
oat bran,0.0001600149479802337
english muffin,0.0001600149479802337
penne,0.00015951800714799694
cantaloupe,0.00015951800714799694
marinated artichoke heart,0.00015703330298681318
cracked pepper,0.00015653636215457644
baking cocoa,0.0001560394213223397
fine dry breadcrumb,0.00015554248049010291
mint sprig,0.00015554248049010291
deli ham,0.00015504553965786617
instant coffee granule,0.00015504553965786617
anchovy fillet,0.00015454859882562942
skinless chicken breast,0.00015405165799339267
spanish onion,0.00015405165799339267
sourdough bread,0.00015405165799339267
tomatillo,0.00015355471716115593
saltine cracker,0.00015256083549668243
dijon-style mustard,0.00015206389466444566
red chile,0.00015206389466444566
okra,0.00015156695383220891
instant yeast,0.00015156695383220891
hash brown,0.00015107001299997217
guacamole,0.00015107001299997217
green food coloring,0.00015007613133549867
sea scallop,0.00015007613133549867
lump crabmeat,0.00014957919050326193
dry roasted peanut,0.00014908224967102518
berry,0.00014908224967102518
mashed banana,0.00014908224967102518
chicken bouillon granule,0.0001485853088387884
beef stew meat,0.0001485853088387884
chili flake,0.00014808836800655166
serrano chili,0.00014709448634207817
sultana,0.00014709448634207817
ranch dressing mix,0.00014610060467760467
plum,0.00014610060467760467
berry cranberry,0.00014560366384536793
rotini pasta,0.00014510672301313115
